data,cliente,mensagem,resposta
2025-04-21 00:20:43.800376,Carla,Qual valor da taça gin?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800394,Ana,Vocês têm copo twister?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800400,Carla,Demoraram muito para responder,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800405,Daniel,Quero catálogo e preços,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800412,Daniel,Demoraram muito para responder,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800417,Eduarda,Vocês têm copo twister?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800421,Carla,Quero comprar vários copos,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800426,Daniel,Quero comprar vários copos,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800430,Fernando,Demoraram muito para responder,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800434,Bruno,Têm desconto para grande quantidade?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800439,Ana,Demoraram muito para responder,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800443,Daniel,Preciso de canecas gel,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800448,Carla,Preciso de canecas gel,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800452,Eduarda,Vocês têm copo twister?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800456,Gabriela,Atendimento horrível,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800461,Eduarda,Quero catálogo e preços,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800465,Ana,Qual valor da taça gin?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800473,Eduarda,Têm desconto para grande quantidade?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800478,Eduarda,Qual valor da taça gin?,Catálogo: [link_catalogo_aqui]
2025-04-21 00:20:43.800482,Daniel,Têm desconto para grande quantidade?,Catálogo: [link_catalogo_aqui]
